Date,Actual,Predicted,Naive
2024-12-27,2912.5,2599.6826835936636,2617.199951171875
2024-12-30,2909.0,2590.9362956792775,2606.10009765625
2024-12-31,2925.89990234375,2607.3225373151117,2629.199951171875
2025-01-02,2883.60009765625,2631.990470938935,2658.89990234375
2025-01-03,2931.60009765625,2627.8543129893023,2645.0
2025-01-06,2919.39990234375,2621.415196689387,2638.39990234375
2025-01-07,2940.0,2632.2414224179047,2656.699951171875
2025-01-08,2937.60009765625,2642.1824867449786,2664.5
2025-01-09,2947.89990234375,2656.5542057689117,2683.800048828125
2025-01-10,2904.5,2676.437808441733,2708.5
2025-01-13,2916.800048828125,2663.80580836474,2673.5
2025-01-14,2883.199951171875,2664.4967434338923,2677.5
2025-01-15,2836.800048828125,2684.8884244840383,2712.5
2025-01-16,2890.199951171875,2710.041377325112,2746.39990234375
2025-01-17,2909.60009765625,2716.314287996931,2744.300048828125
2025-01-21,2915.300048828125,2718.046034324191,2755.0
2025-01-22,2916.60009765625,2730.247063832903,2767.60009765625
2025-01-23,2904.699951171875,2727.865732940095,2763.10009765625
2025-01-24,2891.0,2734.965462632319,2777.300048828125
2025-01-27,2912.89990234375,2713.080808783342,2737.5
2025-01-28,2939.10009765625,2727.874195027058,2766.800048828125
2025-01-29,2984.300048828125,2734.4449126760046,2769.10009765625
2025-01-30,2994.5,2766.556887180026,2823.0
2025-01-31,3000.0,2769.244098454922,2812.5
2025-02-03,3035.10009765625,2778.5058299520415,2833.89990234375
2025-02-04,3035.89990234375,2797.521950280343,2853.300048828125
2025-02-05,3040.0,2811.203312380473,2871.60009765625
2025-02-06,3018.199951171875,2809.1718685723717,2856.0
2025-02-07,3013.10009765625,2816.6207588850584,2867.300048828125
2025-02-10,3023.699951171875,2847.5253817444636,2914.300048828125
2025-02-11,3020.89990234375,2853.8181237297886,2912.5
2025-02-12,3060.199951171875,2846.309718149004,2909.0
2025-02-13,3086.5,2857.1174333363533,2925.89990234375
2025-02-14,3122.800048828125,2834.546844517058,2883.60009765625
2025-02-18,3118.89990234375,2856.6602042134537,2931.60009765625
2025-02-19,3139.89990234375,2860.026131257475,2919.39990234375
2025-02-20,3097.0,2872.040781966509,2940.0
2025-02-21,3012.0,2870.6508771784956,2937.60009765625
2025-02-24,2951.300048828125,2877.4852366595733,2947.89990234375
2025-02-25,2968.39990234375,2856.4533969590566,2904.5
2025-02-26,3056.5,2860.1647178125468,2916.800048828125
2025-02-27,3155.199951171875,2848.012950925513,2883.199951171875
2025-02-28,3222.199951171875,2816.676223514827,2836.800048828125
2025-03-03,3204.800048828125,2842.5278266254,2890.199951171875
2025-03-04,3218.699951171875,2861.613073005331,2909.60009765625
2025-03-05,3326.60009765625,2868.1982750232246,2915.300048828125
2025-03-06,3308.699951171875,2864.437409174726,2916.60009765625
2025-03-07,3406.199951171875,2861.8062841779974,2904.699951171875
2025-03-10,3400.800048828125,2850.8599234883914,2891.0
2025-03-11,3276.300048828125,2865.7958979006835,2912.89990234375
2025-03-12,3332.0,2888.9447073605197,2939.10009765625
